Last updated: 2025-10-23 08:16
Bitcoin: 3QjWqhQbHdHgWeYHTpmorP8Pe1wgDjJy54


ETH address: 0x01d23570c34A78380452A4BE9C95bAe439719bAf


+------+-------------------------------------+-------------+
|      | github_username                     |   CVE_count |
|  159 | mr-won                              |          10 |
|  160 | mr-r3b00t                           |          10 |
|  161 | cuijiung                            |          10 |
|  162 | AgainstTheLight                     |          10 |
|  163 | hev0x                               |          10 |
|  164 | mistymntncop                        |          10 |
|  165 | adhikara13                          |          10 |
|  166 | marcinguy                           |          10 |
|  167 | Pari-Malam                          |          10 |
|  168 | soltanali0                          |          10 |
|  169 | securifera                          |          10 |
|  170 | Jhonsonwannaa                       |          10 |
|  171 | war4uthor                           |          10 |
|  172 | MaherAzzouzi                        |          10 |
|  173 | 0xkasra                             |          10 |
|  174 | JacobEbben                          |          10 |
|  175 | expFlash                            |          10 |
|  176 | CN016                               |          10 |
|  177 | dnr6419                             |          10 |
|  178 | RevoltSecurities                    |          10 |
|  179 | j4k0m                               |          10 |
|  180 | im-hanzou                           |          10 |
|  181 | SyFi                                |          10 |
|  182 | 0xDeku                              |          10 |
|  183 | gbrsh                               |          10 |
|  184 | Exploitables                        |          10 |
|  185 | 0xConstant                          |          10 |
|  186 | Secsys-FDU                          |          10 |
|  187 | p33d                                |          10 |
|  188 | ThemeHackers                        |           9 |
|  189 | AdityaBhatt3010                     |           9 |
|  190 | 0vercl0k                            |           9 |
|  191 | HoangKien1020                       |           9 |
|  192 | sahici                              |           9 |
|  193 | Osyanina                            |           9 |
|  194 | scopion                             |           9 |
|  195 | Henry4E36                           |           9 |
|  196 | SECFORCE                            |           9 |
|  197 | jptr218                             |           9 |
|  198 | nth347                              |           9 |
|  199 | BabyTeam1024                        |           9 |
|  200 | MzzdToT                             |           9 |
|  201 | jbaines-r7                          |           9 |
|  202 | pashayogi                           |           9 |
|  203 | paragbagul111                       |           9 |
|  204 | dream434                            |           9 |
|  205 | dovankha                            |           9 |
|  206 | Wh04m1001                           |           9 |
|  207 | cc3305                              |           9 |
|  208 | Alaatk                              |           9 |
|  209 | OpenXP-Research                     |           9 |
|  210 | Ko-kn3t                             |           9 |
|  211 | RenukaSelvar                        |           9 |
|  212 | Ki11i0n4ir3                         |           9 |
|  213 | shacojx                             |           9 |
|  214 | k8gege                              |           9 |
|  215 | Sunqiz                              |           9 |
|  216 | antx-code                           |           9 |
|  217 | ally-petitt                         |           9 |
|  218 | gunzf0x                             |           9 |
|  219 | mauricelambert                      |           9 |
|  220 | yanissec                            |           9 |
